# ccx y+
0.379136 4.84821
0.382302 4.84498
0.385502 4.84175
0.388737 4.83851
0.392007 4.83526
0.395313 4.83201
0.398654 4.82875
0.402032 4.8255
0.405447 4.82224
0.408899 4.81897
0.412388 4.81571
0.415916 4.81244
0.419481 4.80917
0.423086 4.80589
0.426729 4.80261
0.430412 4.79933
0.434136 4.79605
0.437899 4.79277
0.441704 4.78948
0.44555 4.78619
0.449437 4.7829
0.453367 4.7796
0.45734 4.77631
0.461356 4.77301
0.465415 4.76971
0.469519 4.7664
0.473667 4.7631
0.477861 4.75979
0.4821 4.75648
0.486385 4.75317
0.490716 4.74986
0.495095 4.74655
0.499521 4.74324
0.503995 4.73992
0.508518 4.7366
0.51309 4.73328
0.517712 4.72996
0.522384 4.72664
0.527107 4.72332
0.531881 4.72
0.536707 4.71667
0.541586 4.71335
0.546518 4.71002
0.551503 4.70669
0.556542 4.70336
0.561636 4.70004
0.566786 4.69671
0.571991 4.69338
0.577253 4.69004
0.582572 4.68671
0.587949 4.68338
0.593385 4.68005
0.59888 4.67672
0.604434 4.67338
0.610048 4.67005
0.615724 4.66672
0.621462 4.66339
0.627261 4.66005
0.633124 4.65672
0.639051 4.65339
0.645042 4.65005
0.651098 4.64672
0.657219 4.64339
0.663408 4.64005
0.669664 4.63672
0.675987 4.63339
0.68238 4.63006
0.688841 4.62673
0.695374 4.6234
0.701977 4.62007
0.708652 4.61674
0.715399 4.61341
0.72222 4.61008
0.729115 4.60675
0.736085 4.60342
0.74313 4.6001
0.750252 4.59677
0.757452 4.59345
0.76473 4.59013
0.772087 4.58681
0.779524 4.58348
0.787042 4.58016
0.794641 4.57685
0.802323 4.57353
0.810089 4.57021
0.817939 4.5669
0.825874 4.56358
0.833896 4.56027
0.842004 4.55696
0.850201 4.55365
0.858487 4.55034
0.866863 4.54704
0.87533 4.54373
0.883889 4.54043
0.892542 4.53713
0.901288 4.53383
0.910129 4.53053
0.919066 4.52724
0.928101 4.52394
0.93826 4.52028
0.949496 4.51629
0.960731 4.51235
0.971966 4.50847
0.983202 4.50463
0.994437 4.50085
1.00567 4.49711
1.01691 4.49343
1.02814 4.48979
1.03938 4.48619
1.05061 4.48265
1.06185 4.47914
1.07308 4.47568
1.08432 4.47226
1.09555 4.46888
1.10679 4.46554
1.11803 4.46224
1.12926 4.45898
1.1405 4.45576
1.15173 4.45257
1.16297 4.44942
1.1742 4.44631
1.18544 4.44323
1.19667 4.44018
1.20791 4.43717
1.21914 4.43418
1.23038 4.43124
1.24161 4.42832
1.25285 4.42543
1.26409 4.42257
1.27532 4.41975
1.28656 4.41695
1.29779 4.41418
1.30903 4.41143
1.32026 4.40872
1.3315 4.40603
1.34273 4.40337
1.35397 4.40073
1.3652 4.39812
1.37644 4.39553
1.38767 4.39297
1.39891 4.39043
1.41014 4.38792
1.42138 4.38543
1.43262 4.38296
1.44385 4.38052
1.45509 4.3781
1.46632 4.37569
1.47756 4.37331
1.48879 4.37095
1.50003 4.36862
1.51126 4.36629
1.5225 4.364
1.53373 4.36172
1.54497 4.35946
1.5562 4.35722
1.56744 4.355
1.57867 4.35279
1.58991 4.35061
1.60115 4.34844
1.61238 4.34629
1.62362 4.34415
1.63485 4.34204
1.64609 4.33994
1.65732 4.33786
1.66856 4.33579
1.67979 4.33374
1.69103 4.3317
1.70226 4.32969
1.7135 4.32768
1.72473 4.3257
1.73597 4.32372
1.7472 4.32177
1.75844 4.31981
1.76968 4.31789
1.78091 4.31596
1.79215 4.31407
1.80338 4.31216
1.81462 4.3103
1.82585 4.30841
1.83709 4.30658
1.84832 4.30472
1.85956 4.30292
1.87079 4.30107
1.88203 4.29929
1.89326 4.29747
1.9045 4.29569
1.91573 4.29394
1.92697 4.29191
1.93821 4.29029
1.94944 4.28782
1.96068 4.28706
1.97191 4.28315
1.98315 4.28466
1.99438 4.27908
