# ccx tau_xx tau_yy tau_zz
0.281013 -7.82178 -0.000203465 0
0.283113 -7.8122 -0.000201707 0
0.285235 -7.8026 -0.000199784 0
0.28738 -7.79299 -0.000197905 0
0.289548 -7.78337 -0.000196082 0
0.291741 -7.77373 -0.000194266 0
0.293956 -7.76408 -0.000192395 0
0.296196 -7.75443 -0.000190558 0
0.298461 -7.74475 -0.000188802 0
0.30075 -7.73507 -0.000187043 0
0.303064 -7.72537 -0.000185224 0
0.305403 -7.71566 -0.000183426 0
0.307767 -7.70595 -0.000181698 0
0.310157 -7.69622 -0.000179977 0
0.312573 -7.68648 -0.000178221 0
0.315016 -7.67673 -0.000176467 0
0.317485 -7.66697 -0.000174781 0
0.31998 -7.6572 -0.000173104 0
0.322503 -7.64741 -0.000171377 0
0.325053 -7.63763 -0.000169673 0
0.327632 -7.62783 -0.000168049 0
0.330238 -7.61802 -0.000166403 0
0.332872 -7.6082 -0.000164723 0
0.335535 -7.59838 -0.000163081 0
0.338227 -7.58855 -0.000161491 0
0.340948 -7.57871 -0.000159879 0
0.343699 -7.56886 -0.000158248 0
0.346479 -7.55901 -0.000156662 0
0.34929 -7.54914 -0.000155124 0
0.352132 -7.53927 -0.000153537 0
0.355004 -7.5294 -0.00015195 0
0.357908 -7.51952 -0.000150442 0
0.360843 -7.50963 -0.000148915 0
0.36381 -7.49974 -0.000147373 0
0.366809 -7.48984 -0.000145853 0
0.369841 -7.47993 -0.000144394 0
0.372906 -7.47002 -0.000142898 0
0.376004 -7.46011 -0.000141391 0
0.379136 -7.45019 -0.000139951 0
0.382302 -7.44026 -0.000138549 0
0.385502 -7.43033 -0.00013727 0
0.388737 -7.42038 -0.000136003 0
0.392007 -7.41042 -0.000134644 0
0.395313 -7.40046 -0.000133219 0
0.398654 -7.3905 -0.000131792 0
0.402032 -7.38053 -0.000130439 0
0.405447 -7.37056 -0.000129058 0
0.408899 -7.36059 -0.000127664 0
0.412388 -7.35061 -0.000126324 0
0.415916 -7.34064 -0.000124991 0
0.419481 -7.33066 -0.000123641 0
0.423086 -7.32068 -0.000122315 0
0.426729 -7.3107 -0.000121024 0
0.430412 -7.30071 -0.000119707 0
0.434136 -7.29073 -0.000118408 0
0.437899 -7.28075 -0.000117158 0
0.441704 -7.27076 -0.000115874 0
0.44555 -7.26078 -0.0001146 0
0.449437 -7.25079 -0.000113385 0
0.453367 -7.24081 -0.000112137 0
0.45734 -7.23082 -0.000110892 0
0.461356 -7.22084 -0.000109706 0
0.465415 -7.21085 -0.000108496 0
0.469519 -7.20087 -0.000107289 0
0.473667 -7.19089 -0.000106128 0
0.477861 -7.18091 -0.000104948 0
0.4821 -7.17093 -0.000103774 0
0.486385 -7.16096 -0.000102646 0
0.490716 -7.15098 -0.000101499 0
0.495095 -7.14101 -0.000100354 0
0.499521 -7.13104 -9.92579e-05 0
0.503995 -7.12107 -9.8141e-05 0
0.508518 -7.11111 -9.70283e-05 0
0.51309 -7.10115 -9.59609e-05 0
0.517712 -7.09119 -9.48746e-05 0
0.522384 -7.08123 -9.37977e-05 0
0.527107 -7.07128 -9.27542e-05 0
0.531881 -7.06133 -9.16948e-05 0
0.536707 -7.05139 -9.06563e-05 0
0.541586 -7.04145 -8.96386e-05 0
0.546518 -7.03152 -8.86082e-05 0
0.551503 -7.02159 -8.76023e-05 0
0.556542 -7.01166 -8.66089e-05 0
0.561636 -7.00174 -8.56091e-05 0
0.566786 -6.99182 -8.4639e-05 0
0.571991 -6.98191 -8.36665e-05 0
0.577253 -6.972 -8.26962e-05 0
0.582572 -6.9621 -8.17566e-05 0
0.587949 -6.95221 -8.0807e-05 0
0.593385 -6.94232 -7.98733e-05 0
0.59888 -6.93243 -7.89571e-05 0
0.604434 -6.92256 -7.80321e-05 0
0.610048 -6.91269 -7.71331e-05 0
0.615724 -6.90282 -7.62376e-05 0
0.621462 -6.89297 -7.53423e-05 0
0.627261 -6.88312 -7.44731e-05 0
0.633124 -6.87327 -7.35984e-05 0
0.639051 -6.86344 -7.27362e-05 0
0.645042 -6.85361 -7.18889e-05 0
0.651098 -6.84379 -7.1038e-05 0
0.657219 -6.83397 -7.02121e-05 0
0.663408 -6.82416 -6.93805e-05 0
0.669664 -6.81437 -6.85589e-05 0
0.675987 -6.80458 -6.77582e-05 0
0.68238 -6.79479 -6.69498e-05 0
0.688841 -6.78502 -6.61629e-05 0
0.695374 -6.77525 -6.53762e-05 0
0.701977 -6.7655 -6.45954e-05 0
0.708652 -6.75575 -6.38327e-05 0
0.715399 -6.74601 -6.30668e-05 0
0.72222 -6.73628 -6.23202e-05 0
0.729115 -6.72656 -6.15721e-05 0
0.736085 -6.71685 -6.08347e-05 0
0.74313 -6.70715 -6.0111e-05 0
0.750252 -6.69745 -5.93837e-05 0
0.757452 -6.68777 -5.86761e-05 0
0.76473 -6.6781 -5.79678e-05 0
0.772087 -6.66844 -5.72706e-05 0
0.779524 -6.65878 -5.65805e-05 0
0.787042 -6.64914 -5.58946e-05 0
0.794641 -6.63951 -5.52226e-05 0
0.802323 -6.62989 -5.45505e-05 0
0.810089 -6.62028 -5.38927e-05 0
0.817939 -6.61068 -5.32363e-05 0
0.825874 -6.60109 -5.25885e-05 0
0.833896 -6.59151 -5.19509e-05 0
0.842004 -6.58194 -5.13147e-05 0
0.850201 -6.57239 -5.06912e-05 0
0.858487 -6.56284 -5.00704e-05 0
0.866863 -6.55331 -4.94598e-05 0
0.87533 -6.54379 -4.88534e-05 0
0.883889 -6.53428 -4.82535e-05 0
0.892542 -6.52478 -4.76621e-05 0
0.901288 -6.5153 -4.70718e-05 0
0.910129 -6.50582 -4.64944e-05 0
0.919066 -6.49637 -4.58997e-05 0
0.928101 -6.48691 -4.54095e-05 0
0.93826 -6.47641 -4.47523e-05 0
0.949496 -6.46498 -4.40518e-05 0
0.960731 -6.45371 -4.34463e-05 0
0.971966 -6.4426 -4.27963e-05 0
0.983202 -6.43165 -4.21836e-05 0
0.994437 -6.42085 -4.15765e-05 0
1.00567 -6.4102 -4.09896e-05 0
1.01691 -6.39969 -4.04138e-05 0
1.02814 -6.38933 -3.98535e-05 0
1.03938 -6.37911 -3.93064e-05 0
1.05061 -6.36902 -3.87722e-05 0
1.06185 -6.35906 -3.82511e-05 0
1.07308 -6.34924 -3.77419e-05 0
1.08432 -6.33954 -3.72462e-05 0
1.09555 -6.32997 -3.67594e-05 0
1.10679 -6.32051 -3.62846e-05 0
1.11803 -6.31118 -3.58191e-05 0
1.12926 -6.30195 -3.53669e-05 0
